Bathurst City,47.62,-65.65
Beresford Town,47.695,-65.701667
Shippagan Town,47.743889,-64.717778
Petit-Rocher Village,47.783917,-65.715917
Belledune Village,47.9,-65.816667
Bas-Caraquet Village,47.8,-64.833333
Lameque Village,47.79246,-64.65317
Saint-Leolin Village,47.7675,-65.150444
